Publicado,Número,Semana,Tema_Semana,Fase,Día,Pilar,Tipo,Texto,Fuente
FALSE,001,1,La señal que no veías,Despertar,Lunes,DOLOR,Cita,"«El mejor puente entre la desesperanza y la esperanza es una buena noche de sueño.»
— Matthew Walker",Por qué dormimos
FALSE,002,1,La señal que no veías,Despertar,Martes,DOLOR,Cita,"«Cuanto más corto tu sueño, más corta tu vida. Las enfermedades que colapsan los sistemas de salud — cardiopatías, obesidad, demencia, diabetes, cáncer — todas tienen vínculos causales reconocidos con la falta de sueño.»
— Matthew Walker",Por qué dormimos
FALSE,003,2,El cuerpo sabe primero,Despertar,Lunes,DOLOR,Cita,"«Ningún aspecto de nuestra biología sale ileso de la privación de sueño.»
— Matthew Walker",Por qué dormimos
FALSE,004,2,El cuerpo sabe primero,Despertar,Martes,DOLOR,Cita,"«Los seres humanos son la única especie que se priva deliberadamente de sueño sin ningún beneficio aparente.»
— Matthew Walker",Por qué dormimos
FALSE,005,3,El sensor atascado,Despertar,Lunes,DOLOR,Dato,"Después de diez días durmiendo solo siete horas, el cerebro funciona igual que si llevaras 24 horas seguidas sin dormir. Y la persona que lo vive no lo nota — porque el cerebro privado de sueño no puede evaluar cuánto daño tiene.",Matthew Walker — UC Berkeley
FALSE,006,3,El sensor atascado,Despertar,Martes,DOLOR,Dato,"Después de 17 horas despierto, el rendimiento cognitivo cae al equivalente de 0.05% de alcohol en sangre — el límite legal para conducir en la mayoría de los países. Nadie lo llama conducir borracho. Lo llaman día de trabajo.",Matthew Walker — Por qué dormimos
FALSE,007,4,Nombrar para cambiar,Despertar,Lunes,DOLOR,Cita,"«La mente humana no puede percibir con precisión cuán privada de sueño está — precisamente cuando más lo está.»
— Matthew Walker",Por qué dormimos
FALSE,008,4,Nombrar para cambiar,Despertar,Martes,DOLOR,Dato,"El 90.5% de los adultos de 18 a 24 años duerme menos de las 7 a 9 horas recomendadas. La mayoría cree que funciona bien. El cerebro privado de sueño es el único órgano que no puede diagnosticar su propia disfunción.",NapLab Sleep Statistics 2025
FALSE,009,5,El freno existe,Explicar,Lunes,DOLOR,Dato,"Después de 35 horas sin dormir, la amígdala — el centro de alarma del cerebro — se vuelve un 60% más reactiva a estímulos negativos. ¿Eso significa que el problema es el mundo? No. Significa que el filtro está roto.",Matthew Walker — investigación clínica
FALSE,010,5,El freno existe,Explicar,Martes,DOLOR,Cita,"«Después del trauma, el mundo se experimenta con un sistema nervioso diferente, y la energía del sobreviviente se enfoca en suprimir el caos interior a expensas de su participación espontánea en la vida.»
— Bessel van der Kolk",El cuerpo lleva la cuenta
